Created_Date,Twitter_ID,Text
2021-06-25 06:41:15,1408314326469910533,"Sit back and relax, the #BankComesHome to make sure your business keeps moving ahead!  #ICICIBank #InstaBIZ is a hassle-free and convenient platform that will help address all your business banking needs in one place. Download here: https://t.co/ivrdUQZClw https://t.co/TVziaRnC9E"
2021-06-25 03:30:00,1408266196558835715,"No UPI or account details available? No problem! With #ICICIBank #iMobilePay, you can enjoy hassle-free payments simply by using the beneficiary’s mobile number. 

Download the app: https://t.co/8oiFFXOgD6  

#iMobilePayForAll https://t.co/Wj2tzALXvM"
2021-06-24 16:30:01,1408100105350225923,"Be careful of fraudsters trying to convince you to share your UPI PIN over the phone. Stay safe, practice #SafeBanking. Know more: https://t.co/sY8HeLZLhN
#KnowTheDifference #iPledgeSafeBanking https://t.co/yoj1Wj5AmT"
2021-06-24 14:30:00,1408069905908310020,"Access your ICICI Bank account from your mobile phone using iMobile Pay and get a host of services like money transfer, bill payments, online recharges and more at  your fingertips. Watch the video to know more. 
https://t.co/G2Syis8R8s"
2021-06-24 12:30:00,1408039705338286084,"Get access to credit from the safety of your home! With #ICICIBankInstaFlexiCash, salaried account customers can get an instant approval for overdraft facility against their salary in a fully digital and safe manner. Read more.
https://t.co/4IqiIXIPDF"
2021-06-24 11:30:00,1408024606800105477,"‘#ICICIStackForCorporates’ is the Bank’s all-new initiative that offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including employees, dealers, vendors and all other stakeholders. Read more here.
https://t.co/79fM0ExYFv"
2021-06-24 09:44:53,1407998150988623874,"Save Tax Deducted at Source (TDS) on term-deposit interest by submitting your Form 15G/15H conveniently from the comfort and safety of your home through #ICICIBank internet banking or #iMobilePay. 

Download app: https://t.co/8oiFFXOgD6
      
Know more: https://t.co/3vUfLZDpJo https://t.co/oNUF8qrPgj"
2021-06-24 07:51:42,1407969669915439108,Ease your bulk payments with the #ICICIBank #InstaBIZ app and transfer funds to multiple people with a single upload. Know more: https://t.co/ivrdUQZClw #BankComesHome https://t.co/dIzGbi8yrG
2021-06-24 07:35:21,1407965554833379328,@PSTamangGolay @ICICIFoundation Thank you for your kind words of appreciation @PSTamangGolay Sir. We at #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities who are at the forefront of safeguarding the citizens against the pandemic.
2021-06-24 07:35:16,1407965531525685249,Thank you for your kind words of appreciation @PSTamangGolay Sir. We at #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities who are at the forefront of safeguarding the citizens against the pandemic. https://t.co/a4l08pfUX0
2021-06-23 16:30:00,1407737717388050433,"Private confidential information, such as your CVV, passwords, OTP, PIN and card number should never be shared with anyone over call or SMS. Practice #SafeBanking.

Know more: https://t.co/h7Aw52F3mY

#KnowTheDifference #iPledgeSafeBanking https://t.co/95LSyMBcG2"
2021-06-23 14:30:00,1407707516495093770,"#ICICIBank makes raising a demand draft request simple for its users with #InstaBIZ app. Watch this step-by-step guide to get started.
https://t.co/Yy2Dm3Ax9N"
2021-06-23 11:30:00,1407662219924365322,"With ‘#ICICIStackForCorporates’, the Bank offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including vendors, dealers, employees and all other stakeholders across 15 leading industries. Read more here.
https://t.co/qpiHjjDyXu"
2021-06-23 11:30:00,1407662216850063366,"With ‘#ICICIStackForCorporates’, the Bank offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including vendors, dealers, employees and all other stakeholders across 15 leading industries. Read more here.
https://t.co/qpiHjjVam4"
2021-06-23 07:32:31,1407602453386731520,@PRDJSR @DCEastSinghbhum @JharkhandCMO @jnacjsr Thank you for your kind words @PRDJSR. #ICICIBank is committed to assist the authorities who have been at the forefront of safeguarding citizens against the pandemic.
2021-06-23 07:32:22,1407602416166477830,Thank you for your kind words @PRDJSR. #ICICIBank is committed to assist the authorities who have been at the forefront of safeguarding citizens against the pandemic. https://t.co/nOhGopjXZO
2021-06-23 07:28:47,1407601515095752705,@DC_Ranchi @ICICIFoundation @MoHFW_INDIA @HemantSorenJMM @JharkhandCMO @BannaGupta76 @DDC_Ranchi @prdjharkhand Thank you for your kind words @DC_Ranchi. #ICICIBank &amp; #ICICIFoundation stand in solidarity with the citizens and are committed to assist the authorities during this challenging time.
2021-06-23 07:28:34,1407601457696624642,Thank you for your kind words @DC_Ranchi. #ICICIBank &amp; #ICICIFoundation stand in solidarity with the citizens and are committed to assist the authorities during this challenging time. https://t.co/QTWP6zjKZ3
2021-06-23 03:30:00,1407541421276549124,"Say goodbye to multiple payment apps! #iMobilePayByICICIBank is the one-stop solution for all your payment needs. Watch the video to know more. 

Download: https://t.co/8oiFFXwFLy  

#StaySafeBankSafe #BankFromHome https://t.co/Haxw0dkZ5T"
2021-06-22 16:30:00,1407375327131705345,"It’s never too late to start practicing #SafeBanking! Keep these simple steps in mind and fraudsters at bay. Know more: https://t.co/xP2tObNJev

#KnowTheDifference #iPledgeSafeBanking https://t.co/Z4OJfUJVfZ"
2021-06-22 13:10:31,1407325126048186369,@BSF_India @ICICIFoundation @PIBHomeAffairs @moayush @MoHFW_INDIA @mygovindia Thank you @BSF_India. We are committed to assist the security forces of the country.
2021-06-22 13:10:23,1407325092141355008,Thank you @BSF_India. We are committed to assist the security forces of the country. https://t.co/yTMWVjFMzo
2021-06-22 12:30:00,1407314929804251143,"#StaySafeBankSafe and check your UPI ID linked account balance from the comfort and safety of your home in a few simple steps. Watch the video to get started! #BankFromHome
https://t.co/esvDyG86hk"
2021-06-22 11:30:00,1407299829466685443,"Say hello to #ICICIBank’s all-new initiative for the entire corporate ecosystem – ‘#ICICIStackForCorporates’. This platform offers a comprehensive set of 360-degree digital banking solutions across 15 leading industries. Read more here.
https://t.co/qpiHjjDyXu"
2021-06-22 05:20:11,1407206763779162114,#ICICIBankInstaEduLoan is the answer to financing your education dreams. This facility enables pre-approved customers to get an education loan of up to ₹1 crore against their fixed deposit along with the sanction letter instantly. Know more: https://t.co/iloQnquGX1 https://t.co/lgGrDU5Lse
2021-06-22 04:57:45,1407201118782857236,"Count on your #BFHBuddies to help you bank smoothly from the comfort and safety of your home at all times.

✅iMobile Pay: https://t.co/8oiFFXOgD6
✅InstaBIZ App: https://t.co/ivrdUQZClw
✅Internet Banking: https://t.co/PwNRGaNWAY

#BankFromHome #StaySafeBankSafe https://t.co/lOQXBJinK8"
2021-06-22 03:30:00,1407179034988101633,You can now avail paperless and instant liquidity against your mutual funds through #ICICIBank ‘Insta Loan Against Mutual Funds’ facility in just a few simple clicks. Know more here: https://t.co/XjsPwoE6Ky https://t.co/YZMkECC1SQ
2021-06-21 13:46:00,1406971666710863873,"Millions of pre-approved customers of #ICICIBank can now shop online from their favourite website/app using their mobile number and PAN with the newly launched instant ‘Cardless EMI’ facility. Read more. #CardlessEMIForOnlineShopping
https://t.co/4ykgp1btSv"
2021-06-21 12:00:01,1406944995655880705,"Now, millions of pre-approved customers of #ICICIBank can purchase from their favourite website/app using the newly launched instant 'Cardless EMI' facility, using their mobile number and PAN. More here. #CardlessEMIForOnlineShopping
https://t.co/3oDYPI2fQU"
2021-06-21 11:30:00,1406937443543093263,"#ICICIBank's newly launched instant 'Cardless EMI' facility will enable millions of pre-approved customers to avail of an EMI from their favourite website/app across multiple categories, using their mobile number &amp; PAN. #CardlessEMIForOnlineShopping
https://t.co/CKgDCYA566"
2021-06-21 10:55:45,1406928823141101569,"From helping you transfer funds in a jiffy, to paying bills on-the-go, #iMobilePayByICICIBank is a one-of-a-kind facility that gives you the flexibility of banking with ease. #InternationalYogaDay #InternationalDayOfYoga https://t.co/4J3Tmop5Vl"
2021-06-21 10:35:00,1406923600012054534,"#ICICIBank extends its ‘Cardless EMI’ facility for online purchases made on e-commerce platforms. It will enable customers to instantly buy products or services online through EMIs in just a few clicks. Learn more here. #CardlessEMIForOnlineShopping
https://t.co/ulR6xLJy7D"
2021-06-21 09:00:15,1406899754617901056,"Shopping online from your favorite website/app just got easier! Easily avail of an EMI with the #ICICIBank instant 'Cardless EMI' facility using your registered mobile number, PAN &amp; OTP.

Want to know how it works? Visit: https://t.co/q43kL7PIOr

#CardlessEMIForOnlineShopping https://t.co/BF1jzqH0sl"
2021-06-21 08:53:42,1406898106084384775,"Presenting a new &amp; convenient way to shop online with instant 'Cardless EMI' facility. All you need is your

✅ Registered mobile number
✅ PAN
✅ OTP 

at the checkout section of the e-commerce website or app. More here: https://t.co/q43kL7PIOr

#CardlessEMIForOnlineShopping https://t.co/Ly5Ynxw7q6"
2021-06-21 08:37:37,1406894060346896388,#JustIn: #ICICIBank introduces instant ‘Cardless EMI’ facility for online purchases made on e-commerce platforms. It will offer a hassle-free experience &amp; enhance the affordability of millions of the Bank's pre-approved customers. #CardlessEMIForOnlineShopping https://t.co/5WAf5FeJT0
2021-06-20 16:30:00,1406650553099161612,"Be cautious and do not share your bank details with anybody. Stay safe, stay secure with ICICI Bank. #iPledgeSafeBanking. 

More information on: https://t.co/AI9mfDyiRi https://t.co/E6CGKeyc2g"
2021-06-20 14:30:00,1406620352940216325,"Get your financial health report with #ICICIBank #MoneyCoach! It analyses your financial transactions, monitors your income and expenses, keeps an eye on your credit card usage and evaluates your capability to repay loans. Know more: https://t.co/ftwx1HyU7k https://t.co/DFDWEFndEB"
2021-06-20 12:30:00,1406590154458943491,Always use a 'SECURED' Wi-Fi connection for using digital channels of banking or for making online transactions. Practice #SafeBanking! https://t.co/KVSGPy0mn0
2021-06-20 11:30:00,1406575054121586692,ICICI Bank #iMobilePay app offers a fast and convenient way to complete UPI transactions seamlessly. Here’s a step-by-step guide to help you make UPI transactions using the ‘Scan to Pay’ option on the app. #BankFromHome #staysafebanksafe https://t.co/ZhFY2F5XtK
2021-06-20 05:53:00,1406490247303598082,"This #FathersDay, #SurpriseYourDad by taking charge of your own banking journey seamlessly with ICICI Bank's digital banking platforms - iMobile Pay and internet banking. #HappyFathersDay https://t.co/lu4pFepoo6"
2021-06-20 04:00:00,1406461806848221186,"Use the #TrackDeliverables feature on #ICICIBank #iMobilePay or internet banking to track your bank deliverables such as cards, cheque book, statements, etc. 

Know more here: https://t.co/hs4z6iOQ8u 

#BankFromHome #StaySafeBankSafe https://t.co/LuYF0RO2cI"
2021-06-20 03:30:00,1406454259114147846,"Avail offers on online doctor consultations and full body checkup at home with Mfine by transacting using your #ICICIBank debit/credit card or internet banking.

Learn more here: https://t.co/2AAA0M7JnU https://t.co/viLRx3bP7f"
2021-06-19 16:30:00,1406288162679267329,Never follow a URL you are unsure of. Practice #SafeBanking at all times with #ICICIBank #iPledgeSafeBanking. More on: https://t.co/SghQHRZVJ8 https://t.co/YJmuWa37rO
2021-06-19 14:30:00,1406257966198579203,"Never install apps from ‘untrusted sources’ on your smartphone, and shut the door on unwanted threats and issues. Stay safe and practice #SafeBanking https://t.co/yUU4d5MCNE"
2021-06-19 12:30:00,1406227767100731392,"‘#ICICIStackForCorporates’ is the Bank’s all-new initiative that offers a comprehensive set of 360-degree digital banking solutions to the entire corporate ecosystem, including employees, dealers, vendors and all other stakeholders. Read more here.
https://t.co/79fM0ExYFv"
